participantId,experiment_type,idx_of_question,who,who_answers_first,answer,ideology,ideology_from_labels,first_answer,first_ideology,human_answer,human_ideology,human_ideology_from_labels,bot_detected,ideology_all_zeros
000D1F259F974E9682C4EBD24445552A,condition_1,3,0,1,-0.2483597436776317,0,,3.0,2.0,3.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,3,1,1,3.0,2,,3.0,2.0,3.0,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,3,2,1,2.26720742243406,0,,3.0,2.0,3.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,0,0,0,-2.8,0,,-2.8,0.0,3.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,0,1,0,3.0,2,,-2.8,0.0,3.0,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,0,2,0,-2.808921117546105,0,,-2.8,0.0,3.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,4,0,0,-1.7,0,,-1.7,0.0,1.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,4,1,0,1.0,2,,-1.7,0.0,1.0,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,4,2,0,-1.3054431230772445,0,,-1.7,0.0,1.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,2,0,1,2.770747019518817,0,,2.0,2.0,2.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,2,1,1,2.0,2,,2.0,2.0,2.0,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,2,2,1,0.9859124067276959,0,,2.0,2.0,2.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,1,0,2,-2.2297657834585447,0,,0.9,0.0,1.1,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,1,1,2,1.1,2,,0.9,0.0,1.1,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,1,2,2,0.9,0,,0.9,0.0,1.1,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,5,0,2,-0.9096646036005573,0,,-1.4,0.0,-2.0,2.0,,True,False
000D1F259F974E9682C4EBD24445552A,condition_1,5,1,2,-2.0,2,,-1.4,0.0,-2.0,2.0,,,False
000D1F259F974E9682C4EBD24445552A,condition_1,5,2,2,-1.4,0,,-1.4,0.0,-2.0,2.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,0,0,1,2.2784959112065213,0,,1.0,1.0,1.0,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,0,1,1,1.0,1,,1.0,1.0,1.0,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,0,2,1,-0.3554266772177357,-1,,1.0,1.0,1.0,1.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,1,0,1,-2.8282078417764787,0,,-2.0,1.0,-2.0,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,1,1,1,-2.0,1,,-2.0,1.0,-2.0,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,1,2,1,2.3770900250958427,-1,,-2.0,1.0,-2.0,1.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,2,0,2,-2.2207555595349255,0,,-0.4000000000000003,-1.0,0.5333333333333328,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,2,1,2,0.5333333333333328,1,,-0.4000000000000003,-1.0,0.5333333333333328,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,2,2,2,-0.4000000000000003,-1,,-0.4000000000000003,-1.0,0.5333333333333328,1.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,3,0,0,0.75,0,,0.75,0.0,1.9499999999999993,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,3,1,0,1.9499999999999993,1,,0.75,0.0,1.9499999999999993,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,3,2,0,0.8475964755706449,-1,,0.75,0.0,1.9499999999999993,1.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,4,0,2,0.7174791413748416,0,,1.7,-1.0,-1.9,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,4,1,2,-1.9,1,,1.7,-1.0,-1.9,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,4,2,2,1.7,-1,,1.7,-1.0,-1.9,1.0,,True,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,5,0,0,0.3,0,,0.3,0.0,1.0,1.0,,False,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,5,1,0,1.0,1,,0.3,0.0,1.0,1.0,,,False
008A190019B6486B9A3B1E4D019EAEF1,condition_1,5,2,0,-0.23600350991343877,-1,,0.3,0.0,1.0,1.0,,True,False
0162A54DBD78426689292407F226B9B2,condition_1,1,0,1,2.7719109827209856,-0.1,,2.0,-2.0,2.0,-2.0,,False,False
0162A54DBD78426689292407F226B9B2,condition_1,1,1,1,2.0,-2,,2.0,-2.0,2.0,-2.0,,,False
0162A54DBD78426689292407F226B9B2,condition_1,1,2,1,-1.9406852069897174,-0.1,,2.0,-2.0,2.0,-2.0,,True,False
0162A54DBD78426689292407F226B9B2,condition_1,4,0,0,1.4,-0.1,,1.4,-0.1,-1.0,-2.0,,False,False
0162A54DBD78426689292407F226B9B2,condition_1,4,1,0,-1.0,-2,,1.4,-0.1,-1.0,-2.0,,,False
0162A54DBD78426689292407F226B9B2,condition_1,4,2,0,0.6284693470543354,-0.1,,1.4,-0.1,-1.0,-2.0,,True,False
0162A54DBD78426689292407F226B9B2,condition_1,0,0,0,0.2,-0.1,,0.2,-0.1,1.4,-2.0,,False,False
