ParticipantId,gender,age,race,ethnicity,education,household_income,relationship_marital_status,employment_status,state_of_residence
000D1F259F974E9682C4EBD24445552A,Woman,43,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$150,0000-$174,999",Married,Full-time,Washington
008A190019B6486B9A3B1E4D019EAEF1,Woman,72,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$70,000-$79,999",Married,Part-time,New York
009AFBEE6704466A96A1BDFDF031CACC,Woman,32,White,"Yes, Mexican, Mexican Am., Chicano",High school graduate - high school diploma or the equivalent (for example: GED),"$80,000-$89,999",Married,"Not in paid work (e.g., homemaker, disabled)",California
009FE64FA74E46D7978DA02606B0C060,Man,46,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$100,000-$124,999",Married,Full-time,New Jersey
012B4E05E38645C787ADD8FC4C076D2F,Man,26,Black or African American,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",Single,Full-time,Mississippi
0162A54DBD78426689292407F226B9B2,Woman,50,White,"Yes, Mexican, Mexican Am., Chicano",High school graduate - high school diploma or the equivalent (for example: GED),"$30,000-$39,999",Separated,Full-time,Texas
0163260E3DF74A1E8CA46ADD5D792370,Man,42,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$40,000-$49,999",Married,Full-time,Michigan
0163CEF6924B41B5A70EE79DD42D6712,Man,34,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$20,000-$29,999",Single,Full-time,Florida
01A6EF5235F344B3A7D270BFD97FF693,Man,30,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$80,000-$89,999",Married,Full-time,Oklahoma
01A875FAA380427BBBEF0A2176E35972,Man,28,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$10,000-$19,999",Single,Full-time,Kentucky
01BDCB71123048979A77AB656EEBD585,Man,32,An ethnicity not listed here,"Yes, Mexican, Mexican Am., Chicano",High school graduate - high school diploma or the equivalent (for example: GED),"$30,000-$39,999",Single,Full-time,Illinois
0207800282DC461FB786F34E978670DB,Man,58,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$125,000-$149,999",Divorced,Full-time,Alaska
024BA05D98644A2CBD8ECEF3FF884E4A,Woman,23,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$50,000-$59,999",Single,Full-time,North Carolina
0262A6C4C3664465B2807CF144E0B9F7,Woman,57,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$10,000-$19,999",In a relationship,Full-time,California
02673988CCD94CD29BC5AA5599730EE4,Woman,61,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",Married,Full-time,Kentucky
0271A187718B4488A4B1407D940D09D9,Man,21,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","Less than $10,000",Single,Student,North Dakota
028687F82CEF4E15B1B596ED0A8BD7A1,Woman,54,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$30,000-$39,999",Single,"Not in paid work (e.g., homemaker, disabled)",Mississippi
03204146D04547308EC69CEDD44A37F9,Woman,69,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)",Prefer not to say,Married,Part-time,Pennsylvania
034AA152656B4D7A978ECD958E2EC126,Woman,22,White,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (for example: AA, AS)","$40,000-$49,999",In a relationship,Part-time,Nevada
036D9C8010574494A5069728410F3D88,Man,55,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$40,000-$49,999",Married,Full-time,Minnesota
039E107421874BA791EFF765928429C5,Man,48,Chinese,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$250,000 or more",Married,Full-time,Texas
03DE8461A90E4AE08F72F2258BBA7832,Woman,39,Korean,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$60,000-$69,999",Single,Full-time,California
040AAF45726B4A618FCB6455DF62C39B,Man,32,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$175,000-$199,999",Married,Full-time,Kansas
042B7D1944794656BCC8A0B16E29DB80,Woman,54,White,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$50,000-$59,999",Married,Full-time,Pennsylvania
0474482512B64E23A3FA72F2802AAD17,Man,25,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$250,000 or more",In a relationship,Full-time,Ohio
04DD3F7F8D9B44C8901EE90862C8861F,Woman,62,White,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (for example: BA, AB, BS)","$90,000-$99,999",Divorced,Business Owner,Tennessee
0534356469D74809A75902C69E6E0BD6,Man,27,An ethnicity not listed here,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",High school graduate - high school diploma or the equivalent (for example: GED),"$40,000-$49,999",Single,Full-time,Florida
057F3499D929485487C0D41776306BAE,Woman,25,White,"No, not of Hispanic, Latino, or Spanish origin",High school graduate - high school diploma or the equivalent (for example: GED),"$100,000-$124,999",In a relationship,"Not in paid work (e.g., homemaker, disabled)",Virginia
05F5987ECD4D492E96AF3637F44C1FD5,Man,37,Asian Indian,"No, not of Hispanic, Latino, or Spanish origin","Some college, but no degree","$50,000-$59,999",Single,Unemployed,Maryland
