ParticipantId,StartTime (America/New_York),CompletionTime (America/New_York),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Political Ideology
0B12E825726F49BCB5F56F62C40870D4,07/26/2023 03:45:58 PM,07/26/2023 03:57:46 PM,Redirect,,0,0,0,Pending,Conservative
149A52792BED44CBB0251676B7D236F7,07/26/2023 03:46:08 PM,07/26/2023 03:53:18 PM,Redirect,,0,0,0,Pending,Conservative
1DF28D04D4BC4AD0A9B59DD0E935393A,07/26/2023 04:02:31 PM,07/26/2023 04:07:38 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
CEF983DB1EC143EA9AF03F616A805184,07/26/2023 04:02:33 PM,07/26/2023 04:06:50 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
1304BAAAAFA04DEE959F8EC00A5E49F6,07/26/2023 04:19:37 PM,07/26/2023 04:24:33 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
6FA52E01CCF14DEEA30D8117CE23B3E5,07/26/2023 04:19:38 PM,07/26/2023 04:32:22 PM,Redirect,,0,0,0,Pending,Moderate
E772BC7B14D14BC5BDCC6B592E4D6D8F,07/26/2023 04:19:46 PM,07/26/2023 04:26:57 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
25FF8876F4AE4F67971A4AB403102888,07/26/2023 04:20:26 PM,07/26/2023 04:26:22 PM,Redirect,,0,0,0,Pending,Moderate
0E0A1452864C4A15932E3B01BD881A44,07/26/2023 04:24:24 PM,07/26/2023 04:29:37 PM,Redirect,,0,0,0,Pending,Liberal
A754A945BB4741F0B0EB1570A02EB8FF,07/26/2023 04:29:08 PM,07/26/2023 04:33:30 PM,Redirect,,0,0,0,Pending,Liberal
B621A706A14A4B449B0D1ADA908E024A,07/26/2023 04:44:29 PM,07/26/2023 04:49:37 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
E6D20A014E624EAAA56E3C7DB08908AF,07/26/2023 04:44:35 PM,07/26/2023 04:54:11 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
4C35087FD53F4068A3EC085623BDA755,07/26/2023 04:44:36 PM,07/26/2023 05:43:51 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
34F3FBEBA1E34CAC9AFA473734919728,07/26/2023 04:44:37 PM,07/26/2023 04:47:27 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
17B67E5365D44002A4DFAEB37E3D4E53,07/26/2023 04:44:38 PM,07/26/2023 04:49:11 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
288ED6B8223A4F26B55A0B9AE158851F,07/26/2023 04:44:41 PM,07/26/2023 04:47:54 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
A0AF40BE5A6445B58B94C637229FFFB8,07/26/2023 04:44:42 PM,07/26/2023 04:51:27 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
AAC05B3E67784EFA8C48E2A76FA4186F,07/26/2023 04:44:44 PM,07/26/2023 04:49:20 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
E587ABFDA56848ECA4CF94C3287B11D0,07/26/2023 04:44:52 PM,07/26/2023 04:51:07 PM,Redirect,,0,0,0,Pending,Conservative
2C5D3BDDA0F544BAAD486963BF33D093,07/26/2023 04:44:53 PM,07/26/2023 04:50:12 PM,Redirect,,0,0,0,Pending,Somewhat Liberal
8E77F51F5FAF4544B3D1CB7E19D43424,07/26/2023 04:44:57 PM,07/26/2023 04:53:19 PM,Redirect,,0,0,0,Pending,Somewhat Conservative
