ParticipantId,StartTime (Asia/Shanghai),CompletionTime (Asia/Shanghai),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Country Of Residence,Age,Education,Sex,English Language,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Political Ideology,Gender,Voter Registration,Personal Income,Household Income,Sexual Orientation,Race,U.S. Citizenship,Employment Status,Transgender
7378E75D71394AE8B91F1EBD2E13861F,01/08/2024 10:01:55 PM,01/08/2024 10:06:49 PM,Redirect,,0,0,0,Pending,United States,41,"Bachelor's degree (for example: BA, AB, BS)",Female,Yes,Retail,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Woman,Yes,"$100,000-$124,999","$175,000-$199,999",Homosexual,Black or African American,Yes,Full-time,No
83A21B737F6E497DB9804B866B6536D6,01/08/2024 10:02:00 PM,01/08/2024 10:11:59 PM,Redirect,,0,0,0,Pending,United States,44,"Bachelor's degree (for example: BA, AB, BS)",Female,Yes,Business Management & Administration,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Woman,Yes,"$90,000-$99,999","$100,000-$124,999",Bisexual,White,Yes,Full-time,No
D7FC6CC93A484795A0736275EE7EEA5C,01/08/2024 10:02:02 PM,01/08/2024 10:05:48 PM,Redirect,,0,0,0,Pending,United States,44,"Associate degree (for example: AA, AS)",Male,Yes,Hospitality & Tourism,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"$20,000-$29,999","$40,000-$49,999",Heterosexual,White,Yes,Full-time,No
FA3BED3C33C047EAB2768EF5172A1310,01/08/2024 10:02:05 PM,01/08/2024 10:05:05 PM,Redirect,,0,0,0,Pending,United States,50,"Associate degree (for example: AA, AS)",Male,Yes,"Transportation, Distribution & Logistics",Divorced,Independent,"No, not of Hispanic, Latino, or Spanish origin",Conservative,Woman,Yes,"$125,000-$149,999","$175,000-$199,999",Bisexual,Black or African American,Yes,Part-time,Yes
CE387251FBBC45A58D6920EB0935069A,01/08/2024 10:02:07 PM,01/08/2024 10:05:35 PM,Redirect,,0,0,0,Pending,United States,36,"Some college, but no degree",Male,Yes,Other,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin",Liberal,Man,Yes,"Less than $10,000","$60,000-$69,999",Bisexual,White,Yes,Unemployed,No
B7A62718CB364BA3AE3023CC59F86D2B,01/08/2024 10:02:10 PM,01/08/2024 10:06:24 PM,Redirect,,0,0,0,Pending,United States,29,"Bachelor's degree (for example: BA, AB, BS)",Female,Yes,Other,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Woman,Yes,"$20,000-$29,999","$40,000-$49,999",Heterosexual,White,Yes,"Not in paid work (e.g., homemaker, disabled)",No
3B8488407EB0403686FDCAFEAABB5AFA,01/08/2024 10:02:16 PM,01/08/2024 10:04:09 PM,Redirect,,0,0,0,Pending,United States,40,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,No,Medicine,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Man,Yes,"$70,000-$79,999","$70,000-$79,999",Heterosexual,White,Yes,Full-time,No
B0E250FD20A94B4484FF07F9AD38A338,01/08/2024 10:02:22 PM,01/08/2024 10:08:57 PM,Redirect,,0,0,0,Pending,United States,25,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Yes,Finance,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Conservative,Man,Yes,"$50,000-$59,999","$90,000-$99,999",Bisexual,White,Yes,Part-time,No
C8D4DFDFDEAA4A4FAC49E9094B802849,01/08/2024 10:02:52 PM,01/08/2024 10:15:41 PM,Redirect,,0,0,0,Pending,United States,25,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Female,Yes,Medicine,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Somewhat Liberal,Woman,Yes,"$60,000-$69,999","$60,000-$69,999",Heterosexual,Black or African American,Yes,Full-time,No
6F825AF773F0493A95DA1CC2C5B93009,01/08/2024 10:03:20 PM,01/08/2024 10:11:22 PM,Redirect,,0,0,0,Pending,United States,60,"Bachelor's degree (for example: BA, AB, BS)",Female,Yes,Retired,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Moderate,Woman,Yes,"$60,000-$69,999","$100,000-$124,999",Heterosexual,Black or African American,Yes,Retired,No
